Movie, count
,0
Toy Story,1
Jumanji,1
Grumpier Old Men,1
Waiting to Exhale,1
Father of the Bride Part II,1
Heat,3
Sabrina,2
Tom and Huck,1
Sudden Death,1
GoldenEye,1
The American President,1
Dracula: Dead and Loving It,1
Balto,1
Nixon,1
Cutthroat Island,1
Casino,1
Sense and Sensibility,4
Four Rooms,1
Ace Ventura: When Nature Calls,1
Money Train,1
Get Shorty,1
Copycat,1
Assassins,1
Powder,1
Leaving Las Vegas,1
Othello,4
Now and Then,1
Persuasion,3
La Cité des Enfants Perdus,1
摇啊摇，摇到外婆桥,1
Dangerous Minds,1
Twelve Monkeys,1
"Guillaumet, les ailes du courage",1
Babe,1
Carrington,1
Dead Man Walking,1
Across the Sea of Time,1
It Takes Two,2
Clueless,1
"Cry, the Beloved Country",2
Richard III,3
Dead Presidents,1
Restoration,2
Mortal Kombat,1
To Die For,1
How To Make An American Quilt,1
Se7en,1
Pocahontas,1
When Night Is Falling,1
The Usual Suspects,1
Guardian Angel,1
Mighty Aphrodite,1
Lamerica,2
The Big Green,1
Georgia,1
Kids of the Round Table,1
Home for the Holidays,2
Il postino,1
Le confessionnal,1
The Indian in the Cupboard,1
Eye for an Eye,1
Mr. Holland's Opus,1
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1
Two If by Sea,1
Bio-Dome,1
Lawnmower Man 2: Beyond Cyberspace,1
Two Bits,1
Gazon maudit,1
Friday,1
From Dusk Till Dawn,1
Fair Game,3
Kicking and Screaming,1
Les misérables,1
Bed of Roses,2
Big Bully,1
Screamers,2
Nico Icon,1
The Crossing Guard,1
The Juror,1
بادکنک سفید,1
Things to Do in Denver When You're Dead,1
Antonia,1
Once Upon a Time... When We Were Colored,1
Last Summer in the Hamptons,1
Angels and Insects,1
White Squall,1
Dunston Checks In,1
Black Sheep,2
Nick of Time,1
The Journey of August King,1
Mary Reilly,1
Vampire in Brooklyn,1
Beautiful Girls,1
Broken Arrow,2
A Midwinter's Tale,1
La Haine,1
Shopping,1
Heidi Fleiss: Hollywood Madam,1
City Hall,1
Bottle Rocket,1
Mr. Wrong,1
Unforgettable,2
Happy Gilmore,1
The Bridges of Madison County,1
Keiner liebt mich,1
Muppet Treasure Island,1
Catwalk,1
Headless Body in Topless Bar,1
Braveheart,1
Taxi Driver,1
紅番區,1
Before and After,1
Margaret's Museum,1
Le Bonheur est dans le pré,1
Anne Frank Remembered,1
The Young Poisoner's Handbook,1
If Lucy Fell,1
Steal Big Steal Little,1
Race the Sun,1
The Boys of St. Vincent,1
Boomerang,1
重慶森林,1
L'uomo delle stelle,1
Flirting with Disaster,1
The NeverEnding Story III,1
صمت القصور,1
Jupiter's Wife,1
Pie in the Sky,2
Angela,1
Frankie Starlight,1
Jade,1
Nueba Yol,1
Sonic Outlaws,1
Down Periscope,1
From the Journals of Jean Seberg,1
Man of the Year,2
The Neon Bible,1
Target,2
Up Close & Personal,1
The Birdcage,1
Gospa,1
The Brothers McMullen,1
Bad Boys,3
The Amazing Panda Adventure,1
The Basketball Diaries,1
An Awfully Big Adventure,1
Amateur,1
Apollo 13,1
Rob Roy,1
The Addiction,1
Batman Forever,1
Belle de jour,1
Beyond Rangoon,1
Blue in the Face,1
Canadian Bacon,1
Casper,1
Clockers,1
Congo,1
Crimson Tide,1
Crumb,1
Desperado,1
Devil in a Blue Dress,1
Die Hard: With a Vengeance,1
The Doom Generation,1
Feast of July,1
First Knight,1
Free Willy 2 - The Adventure Home,1
Hackers,1
Jeffrey,1
Johnny Mnemonic,1
Judge Dredd,1
Jury Duty,1
Kids,1
Living in Oblivion,1
Lord of Illusions,1
Love & Human Remains,1
Mad Love,2
Mallrats,1
Mighty Morphin Power Rangers: The Movie,1
Moonlight and Valentino,1
Mute Witness,1
Nadja,1
The Net,1
Nine Months,1
Party Girl,3
The Prophecy,1
Reckless,2
Safe,2
The Scarlet Letter,3
The Show,2
Showgirls,1
Smoke,1
Something to Talk About,1
Species,1
The Stars Fell on Henrietta,1
Strange Days,1
